"","CensusTract","State","County","Urban","OHU2010","PCTGQTRS","LILATracts_1And10","LILATracts_halfAnd10","LILATracts_1And20","LILATracts_Vehicle","LowIncomeTracts","PovertyRate","LA1and10","LAhalfand10","LA1and20","LATracts_half","LATracts1","LATracts10","LATracts20","LATractsVehicle_20","LAPOP1_10","LAPOP05_10","LAPOP1_20","LALOWI1_10","LALOWI05_10","LALOWI1_20","lapophalf","lalowihalf","laseniorshalf","laseniorshalfshare","lablackhalf","lablackhalfshare","laasianhalfshare","lahunvhalf","lahunvhalfshare","lasnaphalf","lasnaphalfshare","lapop1","lapop1share","lalowi1","lalowi1share","laseniors1","laseniors1share","lablack1","lablack1share","lahunv1","lahunv1share","lasnap1","lasnap1share","lalowi10","lalowi10share","laseniors10","laseniors10share","lablack10","lablack10share","lahunv10","lahunv10share","lasnap10","lasnap10share","lapop20","lapop20share","lalowi20","lalowi20share","lablack20","lablack20share","lahunv20","lahunv20share","lasnap20","lasnap20share","TractLOWI","TractSeniors","TractBlack","TractHUNV"
"1",51067020101,"Virginia","Franklin",0,2328,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182.5584,1373.103069,1454.036151,0.279945351,64.00000139,0.01232191,0.003658067,38.84335324,0.016685289,124.5667754,0.053508065,5140.164973,0.989635151,1364.361664,0.262680336,1445.275009,0.278258569,64.00000139,0.01232191,38.60255623,0.016581854,123.5642763,0.053077438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374,1456,64,39
"2",51067020102,"Virginia","Franklin",0,1102,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,97.09709458,97.09709458,0,25.19405641,25.19405641,0,2507.999999,789.9826112,657.9999976,0.262360446,138.9999997,0.055422647,0.009968102,28.19094594,0.025581621,79.70731681,0.072329689,2507.999999,1,789.9826112,0.314985092,657.9999976,0.262360446,138.9999997,0.055422647,28.19094594,0.025581621,79.70731681,0.072329689,25.19405641,0.010045477,25.74036071,0.010263302,16.56528354,0.006604977,1.128556728,0.001024099,2.823373901,0.002562045,0,0,0,0,0,0,0,0,0,0,818,658,139,30
"3",51067020200,"Virginia","Franklin",0,2224,0.0005426,0,0,0,1,1,27.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5423.334677,2580.557161,749.9065758,0.135631502,380.2336084,0.068770774,0.003074697,210.3434282,0.09457888,531.6087563,0.239032714,5250.989686,0.949717795,2488.880891,0.450150279,726.8777909,0.131466412,361.9904467,0.065471233,204.0944329,0.09176908,515.4464306,0.231765481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2692,761,407,241
"4",51067020300,"Virginia","Franklin",0,2503,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6092.815918,1313.959641,1066.604107,0.174082603,200.4299902,0.032712582,0.004350962,23.28009126,0.009300875,178.4616106,0.071299085,5984.374093,0.976721739,1291.044769,0.210714015,1043.793017,0.170359559,198.4259887,0.032385505,22.84720052,0.009127927,175.0374792,0.069931074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485,1073,201,25
"5",51067020400,"Virginia","Franklin",0,2237,0.0104626,0,0,0,0,1,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5299.495763,1961.637044,958.6553093,0.175964631,169.4371241,0.031100794,0.005743621,83.44213052,0.037300908,255.7285238,0.114317624,4998.569068,0.917505336,1825.995459,0.335168036,874.2593243,0.160473444,158.4406771,0.029082356,66.20087908,0.029593598,239.6932261,0.107149408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1958,1003,177,85
"6",51067020500,"Virginia","Franklin",0,3292,0,1,1,0,1,1,10.7,1,1,0,0,0,1,0,1,969.4627066,969.4627066,0,327.7202069,327.7202069,0,8134.999952,2506.690459,1297.99999,0.159557466,273.0000003,0.033558697,0.002827289,140.5713449,0.042700895,195.3974078,0.059355227,8133.964257,0.999872681,2506.475123,0.308110034,1297.827374,0.159536248,272.9136924,0.033548088,140.5713449,0.042700895,195.3717937,0.059347446,327.7202069,0.040285213,154.4906397,0.018990859,10.11753252,0.001243704,39.73697268,0.012070769,22.99094592,0.006983884,0,0,0,0,0,0,0,0,0,0,2493,1298,273,147
"7",51067020600,"Virginia","Franklin",0,1166,0.2538421,1,1,0,0,1,13.4,1,1,0,0,0,1,0,0,1970.290919,1970.290919,0,651.0041404,651.0041404,0,3773.999967,1287.641363,449.9999986,0.119236884,386.0000022,0.10227875,0.001589825,30.51371858,0.02616957,106.9532372,0.091726619,3773.999967,0.999999991,1287.641363,0.341187431,449.9999986,0.119236884,386.0000022,0.10227875,30.51371858,0.02616957,106.9532372,0.091726619,651.0041404,0.172497123,238.2250591,0.063122697,161.6264627,0.042826302,15.61173614,0.013389139,61.15120164,0.052445284,0,0,0,0,0,0,0,0,0,0,1001,450,386,29
"8",51067020700,"Virginia","Franklin",0,2396,0.0104836,0,0,0,1,1,16,0,0,0,0,0,0,0,1,394.4021978,394.4021978,0,120.1185985,120.1185985,0,5913.999998,2264.45868,871.0000006,0.147277646,316.0000011,0.053432533,0.003212716,140.3799952,0.058589314,422.2026417,0.176211453,5913.999998,1,2264.45868,0.382897985,871.0000006,0.147277646,316.0000011,0.053432533,140.3799952,0.058589314,422.2026417,0.176211453,120.1185985,0.020310889,57.66437701,0.009750486,19.43752471,0.003286697,10.42813329,0.004352309,31.09519792,0.012977962,0,0,0,0,0,0,0,0,0,0,2011,871,316,142
"9",51067020800,"Virginia","Franklin",1,2730,0.0575693,1,1,1,1,1,20.4,1,1,1,1,1,0,0,1,5478.886366,6408.862003,5478.886366,2586.642324,3127.997762,2586.642324,6408.862003,3127.997762,1255.982871,0.191285847,1302.49193,0.198369164,0.010430279,252.6617095,0.092550077,379.8847956,0.13915194,5478.886366,0.834432891,2586.642324,0.393944917,1072.667438,0.163366957,1080.581484,0.164572264,170.1648981,0.062331465,313.4659582,0.114822695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2878,1303,1327,293
"10",51067020900,"Virginia","Franklin",0,2802,0.0020103,1,1,0,1,1,20.7,1,1,0,0,0,1,0,1,1868.556039,1868.556039,0,779.4586232,779.4586232,0,6964.000006,2987.833406,1004,0.144170017,1284.999994,0.18452039,0.001005169,183.0670845,0.065334434,536.3501367,0.191416894,6964.000006,1.000000001,2987.833406,0.429039834,1004,0.144170017,1284.999994,0.18452039,183.0670845,0.065334434,536.3501367,0.191416894,779.4586232,0.111926856,331.9442624,0.047665747,331.3158662,0.047575512,67.14298484,0.023962521,147.73596,0.052725182,0,0,0,0,0,0,0,0,0,0,3232,1004,1285,189
"11",51073100100,"Virginia","Gloucester",0,2854,0.0002644,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7476.71593,1692.386288,894.7012562,0.118268507,692.3759132,0.091523584,0.003816163,87.77245361,0.030754188,182.9241806,0.064093967,7160.376818,0.94651379,1636.364799,0.21630731,850.9586649,0.112486274,659.1608516,0.087132961,85.44949515,0.029940258,175.264983,0.061410295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1715,907,703,88
"12",51073100201,"Virginia","Gloucester",0,2081,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5809.000073,1158.074253,623.0000083,0.107247376,681.0000034,0.117231882,0.008951627,28.24925346,0.013574845,130.636588,0.062775871,5801.822845,0.998764477,1156.334811,0.199059186,622.4387712,0.107150761,679.4539236,0.11696573,28.2067239,0.013554408,130.4652738,0.062693548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,623,681,27
"13",51073100202,"Virginia","Gloucester",0,1422,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3123.909956,715.3709407,394.0422194,0.107720672,305.0666074,0.083397104,0.004431675,61.36683608,0.0431553,31.79531595,0.022359575,2335.603735,0.638492,487.2282597,0.13319526,287.6425437,0.078633828,208.8029117,0.057081168,31.08260231,0.02185837,23.50496754,0.016529513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,479,388,76
"14",51073100203,"Virginia","Gloucester",0,1573,0.0893773,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3748.830184,750.0148869,926.096752,0.226153053,342.0833425,0.083536836,0.011451371,81.24922893,0.051652402,108.6607728,0.069078686,2373.158365,0.579525852,354.8770769,0.086661069,527.2026639,0.128743019,192.5304856,0.047015992,43.76084822,0.027819993,71.16319941,0.045240432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,1009,387,86
