CensusTract,State,County,Urban,year,OHU2010,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,PovertyRate,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lalowihalf,laseniorshalf,laseniorshalfshare,lablackhalf,lablackhalfshare,laasianhalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,laseniors1,laseniors1share,lablack1,lablack1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lalowi10,lalowi10share,laseniors10,laseniors10share,lablack10,lablack10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lablack20,lablack20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractSeniors,TractBlack,TractHUNV
51073100100,Virginia,Gloucester,0,2015,2854,0.0002644,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7476.71593,1692.386288,894.7012562,0.118268507,692.3759132,0.091523584,0.003816163,87.77245361,0.030754188,182.9241806,0.064093967,7160.376818,0.94651379,1636.364799,0.21630731,850.9586649,0.112486274,659.1608516,0.087132961,85.44949515,0.029940258,175.264983,0.061410295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1715,907,703,88
51073100201,Virginia,Gloucester,0,2015,2081,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5809.000073,1158.074253,623.0000083,0.107247376,681.0000034,0.117231882,0.008951627,28.24925346,0.013574845,130.636588,0.062775871,5801.822845,0.998764477,1156.334811,0.199059186,622.4387712,0.107150761,679.4539236,0.11696573,28.2067239,0.013554408,130.4652738,0.062693548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,623,681,27
51073100202,Virginia,Gloucester,0,2015,1422,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3123.909956,715.3709407,394.0422194,0.107720672,305.0666074,0.083397104,0.004431675,61.36683608,0.0431553,31.79531595,0.022359575,2335.603735,0.638492,487.2282597,0.13319526,287.6425437,0.078633828,208.8029117,0.057081168,31.08260231,0.02185837,23.50496754,0.016529513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,479,388,76
51073100203,Virginia,Gloucester,0,2015,1573,0.0893773,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3748.830184,750.0148869,926.096752,0.226153053,342.0833425,0.083536836,0.011451371,81.24922893,0.051652402,108.6607728,0.069078686,2373.158365,0.579525852,354.8770769,0.086661069,527.2026639,0.128743019,192.5304856,0.047015992,43.76084822,0.027819993,71.16319941,0.045240432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,1009,387,86
51073100301,Virginia,Gloucester,1,2015,2377,0,0,0,0,0,0,6.2,1,1,1,1,1,0,0,0,1718.687791,4488.421373,1718.687791,422.4236833,1158.324277,422.4236833,4488.421373,1158.324277,719.2440836,0.129686997,365.1662981,0.065843184,0.006800425,56.74795036,0.02387377,189.4883384,0.079717433,1718.687791,0.309896825,422.4236833,0.076167271,337.6171752,0.060875798,102.0787167,0.018405827,20.65548423,0.008689728,74.62770971,0.031395755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,861,424,68
51073100302,Virginia,Gloucester,0,2015,1858,0,0,0,0,0,1,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4598.634845,1320.585897,529.8471642,0.106309624,381.8218697,0.076609524,0.006055835,30.71542786,0.016531447,204.3608183,0.109989676,3896.621624,0.781826169,961.9299376,0.193003599,453.5187456,0.090994933,292.1906046,0.058625723,23.42797877,0.012609246,172.1827791,0.092671033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,570,403,34
51073100400,Virginia,Gloucester,0,2015,571,0,0,0,0,0,1,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313.692986,458.8589029,262.2873506,0.195154279,89.49775146,0.066590589,0.008184524,16.97775809,0.029733377,64.22746094,0.112482418,1260.963007,0.938216523,441.4375142,0.328450531,252.8380168,0.188123524,77.04469833,0.057324924,15.53769451,0.027211374,61.79204531,0.108217242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,269,99,15
51073100500,Virginia,Gloucester,0,2015,1557,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3828.56929,911.3605041,683.7882172,0.177284993,106.150297,0.027521467,0.008550114,114.8564729,0.073767805,238.8778107,0.153421844,3419.547477,0.886582182,824.0043353,0.213638666,613.7799703,0.159134034,82.07229647,0.021278791,107.3342691,0.068936589,213.5513638,0.137155661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,692,112,111
51093280101,Virginia,Isle of Wight,0,2015,1548,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005.033099,1012.66209,656.9188112,0.163942803,1453.70095,0.362790354,0.003993012,52.6179656,0.033990934,234.042973,0.151190551,3810.422747,0.950941539,970.1193616,0.242106155,640.2156589,0.15977431,1270.964591,0.317186072,50.91873672,0.032893241,225.8278918,0.145883651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,657,1455,52
51093280103,Virginia,Isle of Wight,1,2015,2641,0,0,0,0,0,0,3.2,1,1,1,1,1,0,0,0,4829.79459,5920.297958,4829.79459,775.5175984,1000.006301,775.5175984,5920.297958,1000.006301,792.9068311,0.1185212,1010.166799,0.150996532,0.011033345,48.62860182,0.01841295,87.2905166,0.03305207,4829.79459,0.72194239,775.5175984,0.115921913,627.4853345,0.093794519,737.0076065,0.110165562,38.65452765,0.014636322,69.37345417,0.026267874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,869,1229,49
51093280104,Virginia,Isle of Wight,1,2015,1675,0.0289627,0,0,0,0,0,2.1,1,1,1,1,1,0,0,0,3854.547087,4454.000021,3854.547087,267.0009921,306.7952172,267.0009921,4454.000021,306.7952172,767.0000055,0.172204761,498.0000037,0.11180961,0.007858105,33.69082191,0.020113924,37.37522042,0.022313564,3854.547087,0.865412458,267.0009921,0.059946339,694.3540915,0.155894497,333.5285512,0.074882926,29.72522558,0.017746403,31.47487116,0.018790968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,767,498,33
51093280105,Virginia,Isle of Wight,0,2015,1640,0,0,0,0,1,1,16.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3018.599508,958.9241831,412.760686,0.102269744,1418.241231,0.351397728,0.004158963,161.7715315,0.098641178,340.06265,0.207355274,1490.599736,0.369326,384.5688752,0.095284657,213.1472249,0.052811503,739.603511,0.183251613,70.94269993,0.043257744,163.6679894,0.099797555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514,559,1844,241
51093280106,Virginia,Isle of Wight,1,2015,1023,0.0021716,0,0,0,0,0,14.7,1,1,1,1,1,0,0,0,774.9104875,2104.705877,774.9104875,79.20723242,316.9417962,79.20723242,2104.705877,316.9417962,276.2881428,0.099995709,436.6915463,0.158049782,0.013677732,22.43684197,0.021932397,25.26566006,0.024697615,774.9104875,0.280459822,79.20723242,0.028667113,102.3685608,0.037049787,166.972553,0.060431615,11.47663191,0.011218604,9.443944121,0.009231617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,349,588,27
51093280200,Virginia,Isle of Wight,0,2015,1470,0.0034292,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,5.974988267,5.974988267,0,1.056509273,1.056509273,0,3791.000009,956.4992058,574.0000018,0.151411238,1072.000003,0.282774994,0.006330783,28.3046357,0.019254854,211.0866751,0.143596378,3791.000009,1.000000002,956.4992058,0.252307889,574.0000018,0.151411238,1072.000003,0.282774994,28.3046357,0.019254854,211.0866751,0.143596378,1.056509273,0.000278689,1.114083171,0.000293876,1.059180707,0.000279393,0.106946794,7.28E-05,0.370766014,0.000252222,0,0,0,0,0,0,0,0,0,0,1125,574,1072,26
51093280300,Virginia,Isle of Wight,0,2015,2134,0.0198543,0,0,0,1,1,18.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5048.853627,1812.898047,728.0834072,0.132619928,1084.087548,0.197465856,0.004225113,135.6611806,0.063571312,409.6378626,0.191957761,4337.290014,0.790034611,1588.468916,0.2893386,626.2224226,0.114066015,1030.755918,0.187751533,116.8840855,0.054772299,350.6496738,0.164315686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,806,1098,140
51093280400,Virginia,Isle of Wight,0,2015,1587,0.0131221,0,0,0,0,1,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4038.999994,971.3637061,583.9999975,0.144590244,927.9999984,0.229759841,0.004704135,42.23175979,0.026611065,216.5957298,0.136481241,4038.999994,0.999999999,971.3637061,0.24049609,583.9999975,0.144590244,927.9999984,0.229759841,42.23175979,0.026611065,216.5957298,0.136481241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,584,928,41
