,CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
1,51067020101,Virginia,Franklin,0,5194,2328,0,0,0,0,0,0,0,0,0,4.4,78492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5182.5584,0.997797151,1373.103069,0.264363317,728.3382781,0.140226854,1454.036151,0.279945351,5031.784997,0.968768771,64.00000139,0.01232191,19,0.003658067,0,0,20.00000002,0.003850597,47.77340063,0.009197805,55.69786764,0.010723502,38.84335324,0.016685289,124.5667754,0.053508065,5140.164973,0.989635151,1364.361664,0.262680336,721.9217749,0.138991485,1445.275009,0.278258569,4990.238936,0.960769915,64.00000139,0.01232191,19,0.003658067,0,0,20.00000002,0.003850597,46.9260323,0.009034662,54.56804323,0.010505977,38.60255623,0.016581854,123.5642763,0.053077438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374,730,1456,5043,64,19,0,20,48,56,39,125
2,51067020102,Virginia,Franklin,0,2508,1102,0,0,0,0,0,0,0,0,0,7.1,63355,0,0,0,0,0,0,0,0,97.09709458,97.09709458,0,25.19405641,25.19405641,0,2507.999999,1,789.9826112,0.314985092,420.0000004,0.167464115,657.9999976,0.262360446,2310.999999,0.921451355,138.9999997,0.055422647,25.00000023,0.009968102,0,0,2.999999963,0.001196172,30.00000027,0.011961723,44.00000042,0.01754386,28.19094594,0.025581621,79.70731681,0.072329689,2507.999999,1,789.9826112,0.314985092,420.0000004,0.167464115,657.9999976,0.262360446,2310.999999,0.921451355,138.9999997,0.055422647,25.00000023,0.009968102,0,0,2.999999963,0.001196172,30.00000027,0.011961723,44.00000042,0.01754386,28.19094594,0.025581621,79.70731681,0.072329689,97.09709458,0.03871495,25.19405641,0.010045477,20.05329393,0.007995731,25.74036071,0.010263302,75.38065693,0.030056083,16.56528354,0.006604977,0.70818047,0.000282369,0,0,0,0,4.442973788,0.001771521,1.024923458,0.000408662,1.128556728,0.001024099,2.823373901,0.002562045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,420,658,2311,139,25,0,3,30,44,30,86
3,51067020200,Virginia,Franklin,0,5529,2224,0,3,0.0005426,0,0,0,1,1,1,27.8,40313,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5423.334677,0.980888891,2580.557161,0.466731264,1280.648466,0.231623886,749.9065758,0.135631502,4822.7184,0.872258709,380.2336084,0.068770774,17.00000013,0.003074697,0,0,17.99999988,0.003255562,185.382676,0.033529151,175.8865963,0.031811647,210.3434282,0.09457888,531.6087563,0.239032714,5250.989686,0.949717795,2488.880891,0.450150279,1235.603666,0.223476879,726.8777909,0.131466412,4676.022207,0.84572657,361.9904467,0.065471233,16.97623618,0.003070399,0,0,17.85724297,0.003229742,178.1435605,0.032219852,169.4658485,0.030650361,204.0944329,0.09176908,515.4464306,0.231765481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2692,1310,761,4896,407,17,0,19,190,176,241,540
4,51067020300,Virginia,Franklin,0,6127,2503,0,0,0,0,0,0,0,0,0,7.5,70871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6092.815918,0.994420747,1313.959641,0.214453997,1177.329072,0.192154247,1066.604107,0.174082603,5767.251752,0.941284764,200.4299902,0.032712582,26.65834143,0.004350962,4.999999974,0.00081606,6.714994447,0.001095968,86.76083871,0.014160411,122.3274906,0.019965316,23.28009126,0.009300875,178.4616106,0.071299085,5984.374093,0.976721739,1291.044769,0.210714015,1156.743424,0.188794422,1043.793017,0.170359559,5665.255255,0.924637711,198.4259887,0.032385505,24.34108937,0.003972758,4.999999974,0.00081606,6.212993751,0.001014035,85.13876224,0.013895669,120.6283136,0.01968799,22.84720052,0.009127927,175.0374792,0.069931074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485,1185,1073,5800,201,27,5,7,87,123,25,192
5,51067020400,Virginia,Franklin,0,5448,2237,0,57,0.0104626,0,0,0,0,0,1,12.3,54427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5299.495763,0.972741513,1961.637044,0.360065537,1134.627488,0.208264957,958.6553093,0.175964631,5010.782695,0.919747191,169.4371241,0.031100794,31.29124967,0.005743621,2,0.000367107,5.996170308,0.001100619,79.98853162,0.014682183,81.8053767,0.015015671,83.44213052,0.037300908,255.7285238,0.114317624,4998.569068,0.917505336,1825.995459,0.335168036,1073.152439,0.196980991,874.2593243,0.160473444,4734.575544,0.869048374,158.4406771,0.029082356,22.91297953,0.00420576,2,0.000367107,5.256128817,0.000964781,75.38374667,0.013836958,72.60616185,0.013327122,66.20087908,0.029593598,239.6932261,0.107149408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1958,1160,1003,5140,177,40,2,6,83,83,85,261
6,51067020500,Virginia,Franklin,0,8135,3292,0,0,0,1,1,0,1,1,1,10.7,56812,1,1,0,0,0,1,0,1,969.4627066,969.4627066,0,327.7202069,327.7202069,0,8134.999952,0.999999994,2506.690459,0.308136504,1835.99999,0.225691455,1297.99999,0.159557466,7618.999961,0.93657037,273.0000003,0.033558697,22.99999998,0.002827289,0,0,20.99999967,0.002581438,198.9999984,0.0244622,175.9999982,0.021634911,140.5713449,0.042700895,195.3974078,0.059355227,8133.964257,0.999872681,2506.475123,0.308110034,1835.741067,0.225659627,1297.827374,0.159536248,7618.050573,0.936453666,272.9136924,0.033548088,22.99999998,0.002827289,0,0,20.99999967,0.002581438,198.9999984,0.0244622,175.9999982,0.021634911,140.5713449,0.042700895,195.3717937,0.059347446,969.4627066,0.119171814,327.7202069,0.040285213,214.7134501,0.026393786,154.4906397,0.018990859,939.7351973,0.115517541,10.11753252,0.001243704,3.219946142,0.000395814,0,0,2.202064644,0.00027069,14.18796952,0.001744065,11.74183358,0.001443372,39.73697268,0.012070769,22.99094592,0.006983884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2493,1836,1298,7619,273,23,0,21,199,176,147,197
7,51067020600,Virginia,Franklin,0,3774,1166,0,958,0.2538421,1,1,0,0,0,1,13.4,49489,1,1,0,0,0,1,0,0,1970.290919,1970.290919,0,651.0041404,651.0041404,0,3773.999967,0.999999991,1287.641363,0.341187431,646.0000013,0.171171172,449.9999986,0.119236884,3215.999995,0.852146263,386.0000022,0.10227875,6.00000002,0.001589825,3.000000026,0.000794913,4.99999983,0.001324854,157.9999985,0.041865394,61.00000033,0.016163222,30.51371858,0.02616957,106.9532372,0.091726619,3773.999967,0.999999991,1287.641363,0.341187431,646.0000013,0.171171172,449.9999986,0.119236884,3215.999995,0.852146263,386.0000022,0.10227875,6.00000002,0.001589825,3.000000026,0.000794913,4.99999983,0.001324854,157.9999985,0.041865394,61.00000033,0.016163222,30.51371858,0.02616957,106.9532372,0.091726619,1970.290919,0.522069666,651.0041404,0.172497123,375.8906021,0.099600054,238.2250591,0.063122697,1736.961637,0.460244207,161.6264627,0.042826302,3.030762969,0.000803064,0.755090846,0.000200077,1.770690199,0.000469181,66.14628437,0.017526837,30.28717352,0.008025218,15.61173614,0.013389139,61.15120164,0.052445284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,646,450,3216,386,6,3,5,158,61,29,102
8,51067020700,Virginia,Franklin,0,5914,2396,0,62,0.0104836,0,0,0,1,1,1,16,46397,0,0,0,0,0,0,0,1,394.4021978,394.4021978,0,120.1185985,120.1185985,0,5913.999998,1,2264.45868,0.382897985,1341.999998,0.226919175,871.0000006,0.147277646,5434.00001,0.91883666,316.0000011,0.053432533,18.99999982,0.003212716,3.000000105,0.000507271,11.99999995,0.002029084,129.9999991,0.021981738,122.9999994,0.020798106,140.3799952,0.058589314,422.2026417,0.176211453,5913.999998,1,2264.45868,0.382897985,1341.999998,0.226919175,871.0000006,0.147277646,5434.00001,0.91883666,316.0000011,0.053432533,18.99999982,0.003212716,3.000000105,0.000507271,11.99999995,0.002029084,129.9999991,0.021981738,122.9999994,0.020798106,140.3799952,0.058589314,422.2026417,0.176211453,394.4021978,0.066689584,120.1185985,0.020310889,76.33594811,0.012907668,57.66437701,0.009750486,367.6757873,0.062170407,19.43752471,0.003286697,1.812508235,0.000306478,0,0,0,0,5.476379214,0.000926003,4.356080737,0.000736571,10.42813329,0.004352309,31.09519792,0.012977962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,1342,871,5434,316,19,3,12,130,123,142,400
9,51067020800,Virginia,Franklin,1,6566,2730,0,378,0.0575693,1,1,1,1,1,1,20.4,47823,1,1,1,1,1,0,0,1,5478.886366,6408.862003,5478.886366,2586.642324,3127.997762,2586.642324,6408.862003,0.976067926,3127.997762,0.476393202,1396.071593,0.212621321,1255.982871,0.191285847,4631.940665,0.705443293,1302.49193,0.198369164,68.48521351,0.010430279,1.389992677,0.000211696,45.54460402,0.006936431,359.0095583,0.054677057,370.1617591,0.056375534,252.6617095,0.092550077,379.8847956,0.13915194,5478.886366,0.834432891,2586.642324,0.393944917,1194.331672,0.181896386,1072.667438,0.163366957,3990.606814,0.607768324,1080.581484,0.164572264,63.86865577,0.009727179,1.000000007,0.0001523,39.33283143,0.005990379,303.4965353,0.046222439,316.6881938,0.048231525,170.1648981,0.062331465,313.4659582,0.114822695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2878,1420,1303,4756,1327,69,2,47,365,373,293,429
10,51067020900,Virginia,Franklin,0,6964,2802,0,14,0.0020103,1,1,0,1,1,1,20.7,48060,1,1,0,0,0,1,0,1,1868.556039,1868.556039,0,779.4586232,779.4586232,0,6964.000006,1.000000001,2987.833406,0.429039834,1628,0.233773693,1004,0.144170017,5484.000007,0.787478462,1284.999994,0.18452039,7.000000051,0.001005169,0,0,10.00000018,0.001435956,178.0000024,0.025560023,209.0000029,0.030011488,183.0670845,0.065334434,536.3501367,0.191416894,6964.000006,1.000000001,2987.833406,0.429039834,1628,0.233773693,1004,0.144170017,5484.000007,0.787478462,1284.999994,0.18452039,7.000000051,0.001005169,0,0,10.00000018,0.001435956,178.0000024,0.025560023,209.0000029,0.030011488,183.0670845,0.065334434,536.3501367,0.191416894,1868.556039,0.26831649,779.4586232,0.111926856,391.8968954,0.056274683,331.9442624,0.047665747,1510.347366,0.216879289,331.3158662,0.047575512,0.959182428,0.000137734,0,0,0,0,25.93362462,0.003723955,61.23672573,0.008793326,67.14298484,0.023962521,147.73596,0.052725182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232,1628,1004,5484,1285,7,0,10,178,209,189,562
