,name,formatted_address,place_id,url,lat,lng
1,Link Of Hampton Roads - Food Distribution Center,"10413 Warwick Blvd, Newport News, VA 23601, USA",ChIJ7Xc_wgN4sIkRJHlvXXa6d4E,https://maps.google.com/?cid=9329130170657765668,37.0336314,-76.4630834
2,Saint Olaf's Food Pantry - Food Distribution Center,"104 Norge Ln, Williamsburg, VA 23188, USA",ChIJO5YuiaWNsIkRaDjLPz2q6eQ,https://maps.google.com/?cid=16494902290261162088,37.3705696,-76.7720925
3,Five Loaves Food Pantry,"Not Ark Refuge Center, 13813 Warwick Blvd Bldg. E, Newport News, VA 23602, USA",ChIJtZbPO6l-sIkR3JYQP-3K1ZU,https://maps.google.com/?cid=10796758802004743900,37.1254301,-76.5338104
4,HELP Food Pantry,"1320 La Salle Ave, Hampton, VA 23669, USA",ChIJVVVVpqeEuokR_3ISZ7qWMhs,https://maps.google.com/?cid=1959794515196932863,37.03101,-76.3617161
5,Foodbank of the VA Peninsula - Food Distribution Center,"2401 Aluminum Ave, Hampton, VA 23661, USA",ChIJa8ZEUFWduokRxfStxo3-qHU,https://maps.google.com/?cid=8478306183402091717,37.005627,-76.4040595
6,York County Church Women Food,"300 Ella Taylor Rd, Yorktown, VA 23692, USA",ChIJg9r33tiBuokRDZiLuElmtL0,https://maps.google.com/?cid=13669663235791099917,37.1405167,-76.453979
8,Campus Kitchen At William & Mary - Food Distribution Center,"Blow Memorial Hall, James Blair Dr, Williamsburg, VA 23185, USA",ChIJ89gtyAqJsIkRZTrC6tAtLSQ,https://maps.google.com/?cid=2606790134632430181,37.27,-76.7099999
9,Virginia Peninsula Foodbank,"2401 Aluminum Ave, Hampton, VA 23661, USA",ChIJW7NEUFWduokRsDIgGcyJIJc,https://maps.google.com/?cid=10889855408669733552,37.005542,-76.4039134
11,"Emmanuel House, Inc. - Food Distribution Center","519 North Ave, Newport News, VA 23601, USA",ChIJYcr3lFSduokRMwWy74sF3rg,https://maps.google.com/?cid=13321090846388520243,37.027067,-76.4518387
14,By His Hands/ Empowered Believers - Food Distribution Center,"2096 Nickerson Blvd, Hampton, VA 23663, USA",ChIJWVAdMAeFuokRecajAOxjp0I,https://maps.google.com/?cid=4802917392888088185,37.0515248,-76.3095064
16,Bethel - Food Distribution Center,"1705 Todds Ln, Hampton, VA 23666, USA",ChIJ-ZkrlyCDuokRVloScDtcEys,https://maps.google.com/?cid=3103925978541480534,37.040352,-76.4093058
17,THRIVE Peninsula,"13195 Warwick Blvd STE 2C, Newport News, VA 23602, USA",ChIJw_FD3TB5sIkRoRCYSdIFjCw,https://maps.google.com/?cid=3209947035144294561,37.1123577,-76.5188705
19,A Gift From Ben,"309 Waltz Farm Dr, Williamsburg, VA 23185, USA",ChIJYbmcC16LsIkRaFOnGc7meqY,https://maps.google.com/?cid=11996154330322785128,37.3058183,-76.7360123
21,WOW-2 Worship Center/ Food Bank,"525 Industrial Park Dr, Newport News, VA 23608, USA",ChIJHXkWVtV9sIkRtKz8snUFPuo,https://maps.google.com/?cid=16878934456503413940,37.1664626,-76.5488901
24,Peninsula Dream Center,"28 Harpersville Rd, Newport News, VA 23601, USA",ChIJyQJknhR4sIkR7eIfwTe1JYA,https://maps.google.com/?cid=9233985862060991213,37.0505038,-76.4738156
