zipcode,homevalue,whitepeople,Percentofpopulation,black people,percent_of_population,county,lang,latitude
23320,326885,30313,51.2,17631,29.8,Chesapeake City,-76.2131,36.7578
23321,342108,20423,54.05,13634,36.08,Chesapeake City,-76.4216,36.8033
23322,463606,51066,78.2,7020,10.8,Chesapeake City,-76.2247,36.6216
23323,331533,20725,51,12797,31.5,Chesapeake City,-76.2875,36.7682
23324,237341,6101,26.3,14070,60.6,Chesapeake City,-76.2875,36.7682
23325,272942,7509,42.9,7313,41.8,Chesapeake City,-76.2305,36.818
23061,298819,17722,83,2421,11.3,Gloucester,-76.5026,37.4128
23062,289941,1945,83.6,278,12,Gloucester,-76.4968,37.2494
23072,296807,10797,87.2,854,6.9,Gloucester,-76.4447,37.2907
23651,314133,343,83.9,34,8.3,Hampton City,-76.3029,37.0085
23661,238218,4036,31.2,7916,61.1,Hampton City,-76.3811,37.0044
23663,195178,5400,37.8,7402,51.9,Hampton City,-76.3116,37.0279
23664,270515,6148,62.9,2351,24.1,Hampton City,-76.2885,37.0779
23666,252112,15690,30.1,28116,54,Hampton City,-76.3985,37.0539
23669,246057,16402,41,18864,47.1,Hampton City,-76.3348,37.0517
23314,394892,6165,68.3,1864,20.7,Isle of Wight,-76.5257,36.9737
23315,257489,1174,96.9,26,2.2,Isle of Wight,-76.8375,36.7449
23430,358505,12000,68.6,4431,25.3,Isle of Wight,-76.6644,36.9896
23487,306077,4787,77.4,1049,17,Isle of Wight,-76.7106,36.8681
23851,179127,6034,46.6,6151,47.5,Franklin City,-76.9413,36.6398
23898,337560,1669,79.3,204,9.7,Isle of Wight,-76.849,36.8414
23168,385313,5259,69.2,1150,15.1,James City,-76.8144,37.417
23185,392925,36104,72.4,6300,12.6,James City,-76.7075,37.2707
23188,399001,33441,75.1,5947,13.4,James City,-76.7567,37.379
23021,"350,546",272,85.5,46,14.5,Mathews,-76.3811,37.383
23025,313198,101,60.1,67,39.9,Mathews,-76.3695,37.4131
23035,"315,265",1132,85.1,28,2.1,Mathews,-76.3753,37.4923
23045,229910,43,100,0,0,Mathews,-76.2653,37.4427
23050,270064,589,92.3,49,7.7,Mathews,-76.4274,37.4932
23056,294681,365,93.8,0,0,Mathews,-76.3579,37.3698
23068,314133,69,100,0,0,Mathews,-76.3348,37.5033
23076,313678,805,99,3,0.4,Mathews,-76.3,37.4782
23109,271139,1929,74.4,388,15,Mathews,-76.329,37.445
23119,322000（round）,285,100,0,0,Mathews,-76.2885,37.4559
23125,231494,329,100,0,0,Mathews,-76.2856,37.3534
23128,307000(round),454,89.9,48,9.5,Mathews,-76.453,37.4784
23130,326557,192,100,0,0,Mathews,-76.2653,37.3903
23138,282713,440,75,114,19.4,Mathews,-76.3058,37.3164
23163,195178,46,100,0,0,Mathews,-76.3116,37.3538
23601,250527,13736,54.2,9257,36.5,Newport News city,-76.4737,37.0363
23602,263056,17966,45.2,11954,30.1,Newport News city,-76.5373,37.1121
